Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18750531GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-05-31,MÜNCHEN,Mun,,,,,,,,
B18750603EStj,peHI,HENRIK IBSEN,peEStj,EDVARD STJERNSTRÖM,1875-06-03,MÜNCHEN,Mun,"'peEaE, peLStj, peBB'",,orgKoTh,,"'SE, Sthlm, Kbh, Mun'","'Sverig, Stockholm, København, München'",,"'woHH, woKE'"
B18750608GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-06-08,MÜNCHEN,Mun,peEBr,,,,,,,
B18750611EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-06-11,MÜNCHEN,Mun,peEStj,,"'orgKT, orgKDTS'",,Sthlm,Stockholm,,woHH
B18750617FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-06-17,MÜNCHEN,Mun,"'peEStj, peEaE, peGB, peBB, peJLi, peJLo, peAWeg, peJH, peJLFH, peODov'",,orgKDTS,,"'Kbh, Mun, Kbh, Dre, Kri'","'København, München, København, Dresden, Kristiania'",,"'woHH, woDi, woTF, woSaHi, woLB, woKE'"
B18750624EStj,peHI,HENRIK IBSEN,peEStj,EDVARD STJERNSTRÖM,1875-06-24,MÜNCHEN,Mun,,,orgKDTS,,"'SE, Sthlm'","'Sverig, Stockholm'",,woHH
B18750629FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-06-29,MÜNCHEN,Mun,peCKFM,,orgKT,,,,,
B18750706FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-07-06,MÜNCHEN,Mun,,,,,,,,woKE
B18750714GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-07-14,MÜNCHEN,Mun,peAuLa,,,,,,"'Til, Redaktionen for tidsskriftet, «Det 19,  århundrede.»'",woEt_Ri
Budat18750714NN_Et_Rimbrev,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1875-07-14,MÜNCHEN,Mun,,,,,,,,
B18750802FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-08-02,MÜNCHEN,Mun,peJHT,,,,Kri,Kristiania,,"'woHH, woKE, woDi'"
B18750816HL,peHI,HENRIK IBSEN,peHL,HARTVIG LASSEN,1875-08-16,"KITZBÜCHEL, TYROL",Kitz,"'peEGr, peLJ, peCKFM, peSuI'",,orgChrTh,,,,,woPG
B18750820EGr,peHI,HENRIK IBSEN,peEGr,EDVARD GRIEG,1875-08-20,"KITZBÜCHEL, TYROL",Kitz,peLJ,,,,"'Kri, Mun'","'Kristiania, München'",,woPG
B18750822FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-08-22,"KITZBÜCHEL, TYROL",Kitz,"'peCKFM, peLSta, peHCA'",,,,"'N, Kitz, Ty, Ost, Mun'","'Norge, Kitzbüchel, Tyrol, Österreich, München'",,"'woSS, woKE, woDi'"
B18750824NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1875-08-24,"KITZBÜCHEL, TYROL",Kitz,"'peFH, peJHT, peLSta'",,"'orgChrTh, orgGyl'",,"'Kri, Kitz, Ty, Ost'","'Kristiania, Kitzbüchel, Tyrol, Österreich'",,
B18750826JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-08-26,"KITZBÜCHEL, TYROL",Kitz,"'peNL, peFH, peJLo, peJKSH, peSiI, peTK, peSuI'",,,,"'Ty, Mun, Kri, Tel'","'Tyroler-alperne, München, Kristiania, Telemarken'",,
B18750916GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-09-16,"KITZBÜCHEL, TYROL",Kitz,peSuI,,,,Mun,München,,"'woSS, woEt_Ri'"
B18750918JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-09-18,"KITZBÜCHEL, TYROL",Kitz,peMAT,,,,Mun,München,,
B18751019ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1875-10-19,MÜNCHEN,Mun,"'peHJJ, peFH, peJHT'",,,,,,,"'woHH, woF2'"
B18751023FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-10-23,MÜNCHEN,Mun,,,orgChrTh,,,,,"'woPG, woSS, woUF, woDi'"
B18751025NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1875-10-25,MÜNCHEN,Mun,"'peSiI, pePCA, pePeSi'",,,,,,,
B18751030EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-10-30,MÜNCHEN,Mun,,,,,,,,
B18751101EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-11-01,MÜNCHEN,Mun,"'peEStj, peJWe, peGF, peGA'",,orgKDTS,,,,,woHH
B18751104NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1875-11-04,MÜNCHEN,Mun,,,,,,,,
